trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.5, 'e': 0.21536828643569034}",20,0,9.962530498845837,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.21106092070697655}",25,0,-99.06527896242387,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.206839702292837}",20,0,-163.94017836084998,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.20270290824698026}",20,14,0.8780705260281092,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.19864885008204064}",30,8,-50.382559757859156,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.19467587308039982}",25,5,0.7699387143397807,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19078235561879184}",20,12,11.657444385141757,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.186966708506416}",20,0,-72.00447290107223,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.18322737433628766}",25,11,-1.0806154793346812,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.1795628268495619}",20,10,-60.669214271758854,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.17597157031257069}",20,7,-41.450180946926466,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.17245213890631925}",30,2,28.36627433096065,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.16900309612819286}",30,0,21.707738601617564,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.16562303420562902}",25,10,20.72095866399743,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.16231057352151643}",30,6,5.671843816004315,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.1590643620510861}",20,6,22.16901472959398,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.15588307481006436}",25,11,5.955343734379076,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.1527654133138631}",30,15,-24.787840303462584,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.1497101050475858}",25,15,19.564509111724668,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.14671590294663409}",25,12,18.2684561753071,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.1437815848877014}",25,11,-27.971533329898115,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.1409059531899474}",20,0,-5.090487432152527,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.13808783412614842}",20,13,12.228475275535569,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.13532607744362546}",30,0,-17.72514432145307,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
